SBP_Male	GDP	TC_Male	Country	Year	Year_base1978
135.9053	4113.18913737	5.003705	Seychelles	1981	1.73205080757
136.5279	1108.99900437	4.480055	Congo, Rep.	1981	1.73205080757
133.8481	546.649104314	4.457136	Mauritania	1981	1.73205080757
130.4674	316.758140586	4.416043	Madagascar	1981	1.73205080757
136.3343	15406.0821838	6.201839	United Kingdom	1981	1.73205080757
128.4638	193.638156026	4.200512	China	1981	1.73205080757
132.8664	505.68588265	4.328184	Senegal	1981	1.73205080757
133.6613	258.476542312	4.141986	Congo, Dem. Rep.	1981	1.73205080757
131.909	269.488212805	4.097383	Rwanda	1981	1.73205080757
130.165	147.740788051	4.206106	Malawi	1981	1.73205080757
127.7849	1953.27104765	4.86454	Belize	1981	1.73205080757
131.3205	413.324906428	4.37185	Comoros	1981	1.73205080757
127.172	1992.32596038	4.860886	Malaysia	1981	1.73205080757
127.1812	1814.21051383	5.01186	Marshall Islands	1981	1.73205080757
136.2238	15413.9396232	5.288783	Saudi Arabia	1981	1.73205080757
136.1765	5213.70129113	5.899323	Malta	1981	1.73205080757
127.8711	198.549952523	4.216102	Mali	1981	1.73205080757
133.3981	321.458627976	4.184029	Benin	1981	1.73205080757
139.0046	20826.4935688	6.210845	Luxembourg	1981	1.73205080757
135.903	8726.87225208	5.603287	Spain	1981	1.73205080757
130.7478	22978.9847056	5.610691	United States	1981	1.73205080757
133.216	2579.57131863	5.020659	Chile	1981	1.73205080757
131.1715	1325.73098755	4.789275	Nicaragua	1981	1.73205080757
135.1196	425.984452476	5.054874	Mongolia	1981	1.73205080757
135.3102	3561.25902901	4.898905	South Africa	1981	1.73205080757
133.9996	6701.6254152	5.434684	Cyprus	1981	1.73205080757
127.211	1945.67495554	5.007059	Jordan	1981	1.73205080757
133.8047	7581.70030328	5.11859	Barbados	1981	1.73205080757
122.8407	271.009070871	4.39097	Bhutan	1981	1.73205080757
135.9249	812.082741238	5.291056	Moldova	1981	1.73205080757
130.2831	2871.36985158	4.879652	Cuba	1981	1.73205080757
128.0574	435.078055462	4.396916	Kenya	1981	1.73205080757
140.1076	16169.0216999	6.14385	Andorra	1981	1.73205080757
126.9015	680.610681581	4.71369	Kiribati	1981	1.73205080757
131.8223	9016.13818107	5.015942	Puerto Rico	1981	1.73205080757
138.7139	3326.56721424	5.536616	Latvia	1981	1.73205080757
130.0967	144.287565586	4.120168	Chad	1981	1.73205080757
136.2126	900.073795583	4.372607	Cote d'Ivoire	1981	1.73205080757
131.2713	9979.84317861	5.788972	Singapore	1981	1.73205080757
134.9776	1840.66215291	5.259945	Romania	1981	1.73205080757
133.8063	645.525833779	4.249656	Liberia	1981	1.73205080757
129.5213	5345.37534826	4.909185	Mexico	1981	1.73205080757
134.3209	295.730649057	4.189468	Sierra Leone	1981	1.73205080757
130.8409	3031.48170619	4.799431	Costa Rica	1981	1.73205080757
133.9259	12812.0297284	5.066651	Hong Kong, China	1981	1.73205080757
131.8413	2019.66846738	4.887441	Colombia	1981	1.73205080757
133.6696	10907.3037029	5.544163	French Polynesia	1981	1.73205080757
131.8256	158.096617931	4.134037	Guinea-Bissau	1981	1.73205080757
130.8036	543.033408476	4.453328	Zimbabwe	1981	1.73205080757
138.5129	1980.38749491	5.212887	Georgia	1981	1.73205080757
129.4852	1126.17302278	4.839945	Syria	1981	1.73205080757
134.004	329.94938078	4.201762	Togo	1981	1.73205080757
134.0508	14814.0730691	5.741682	Australia	1981	1.73205080757
129.7798	1536.37276454	4.475132	Tunisia	1981	1.73205080757
141.4699	22597.8178468	5.948173	Norway	1981	1.73205080757
127.529	1648.77139901	4.666334	Guatemala	1981	1.73205080757
134.0183	352.078934686	4.159997	Nigeria	1981	1.73205080757
138.2685	15716.9047341	6.011605	France	1981	1.73205080757
130.9857	155.305898261	4.095814	Burkina Faso	1981	1.73205080757
133.0296	1099.51270187	5.001727	Albania	1981	1.73205080757
133.0583	9327.28585483	5.498217	Greece	1981	1.73205080757
130.185	2248.7998434	4.628865	Grenada	1981	1.73205080757
135.1541	1352.92562061	5.27133	Bulgaria	1981	1.73205080757
123.1734	140.668485745	4.207908	Ethiopia	1981	1.73205080757
137.3674	59768.8302137	5.655336	United Arab Emirates	1981	1.73205080757
126.3431	1294.40561658	4.761106	Tonga	1981	1.73205080757
136.3863	3302.63935733	4.861153	Brazil	1981	1.73205080757
118.6406	627.684308552	4.728513	Papua New Guinea	1981	1.73205080757
139.6293	15858.1367672	5.82312	Germany	1981	1.73205080757
140.5917	16084.9539069	6.049269	Greenland	1981	1.73205080757
142.4901	15504.3850624	6.105411	Finland	1981	1.73205080757
137.0821	23693.6750763	5.493176	Brunei	1981	1.73205080757
124.9698	354.050192415	4.681143	Pakistan	1981	1.73205080757
130.3286	226.75890888	4.180722	Ghana	1981	1.73205080757
140.4526	253.836275884	4.185469	Niger	1981	1.73205080757
133.9993	628.438703119	4.240244	Gambia	1981	1.73205080757
122.6462	814.621062736	4.66273	Thailand	1981	1.73205080757
128.2966	1109.06401957	4.585341	Honduras	1981	1.73205080757
131.539	5017.77450204	4.963994	Oman	1981	1.73205080757
136.1214	5620.49965547	5.041202	Venezuela	1981	1.73205080757
131.673	3383.83754752	4.862817	Panama	1981	1.73205080757
131.4406	7140.71218227	4.882434	Trinidad and Tobago	1981	1.73205080757
126.9074	816.26060993	4.503705	Guyana	1981	1.73205080757
